Position: {X=1280, Y=719}, Time: 35.5638 ms
Position: {X=1281, Y=716}, Time: 79.7715 ms
Position: {X=1281, Y=716}, Time: 122.1094 ms
Position: {X=1281, Y=715}, Time: 154.3705 ms
Position: {X=1282, Y=714}, Time: 185.487 ms
Position: {X=1283, Y=713}, Time: 229.5377 ms
Position: {X=1284, Y=708}, Time: 263.4051 ms
Position: {X=1286, Y=706}, Time: 310.0941 ms
Position: {X=1289, Y=698}, Time: 358.487 ms
Position: {X=1290, Y=696}, Time: 405.1565 ms
Position: {X=1291, Y=691}, Time: 447.0309 ms
Position: {X=1292, Y=689}, Time: 480.0529 ms
Position: {X=1291, Y=686}, Time: 510.44 ms
Position: {X=1290, Y=683}, Time: 541.2295 ms
Position: {X=1290, Y=681}, Time: 575.6458 ms
Position: {X=1286, Y=675}, Time: 622.0206 ms
Position: {X=1287, Y=674}, Time: 649.5953 ms
Position: {X=1285, Y=674}, Time: 679.4292 ms
Position: {X=1283, Y=671}, Time: 710.5003 ms
Position: {X=1281, Y=669}, Time: 744.3749 ms
Position: {X=1278, Y=667}, Time: 773.9038 ms
Position: {X=1277, Y=663}, Time: 804.9809 ms
Position: {X=1274, Y=663}, Time: 838.9605 ms
Position: {X=1274, Y=663}, Time: 866.9777 ms
Position: {X=1272, Y=659}, Time: 896.9788 ms
Position: {X=1268, Y=657}, Time: 931.0815 ms
Position: {X=1269, Y=657}, Time: 973.8667 ms
Position: {X=1268, Y=654}, Time: 1004.0786 ms
Position: {X=1267, Y=654}, Time: 1038.413 ms
Position: {X=1268, Y=652}, Time: 1068.2425 ms
Position: {X=1268, Y=649}, Time: 1096.784 ms
Position: {X=1269, Y=649}, Time: 1133.2294 ms
Position: {X=1271, Y=647}, Time: 1174.3678 ms
Position: {X=1271, Y=645}, Time: 1209.2609 ms
Position: {X=1272, Y=645}, Time: 1238.2879 ms
Position: {X=1273, Y=644}, Time: 1268.5048 ms
Position: {X=1274, Y=641}, Time: 1302.7748 ms
Position: {X=1275, Y=642}, Time: 1332.4488 ms
Position: {X=1276, Y=640}, Time: 1362.3361 ms
Position: {X=1278, Y=637}, Time: 1391.51 ms
Position: {X=1278, Y=639}, Time: 1426.4414 ms
Position: {X=1278, Y=636}, Time: 1455.8248 ms
Position: {X=1278, Y=636}, Time: 1485.9044 ms
Position: {X=1277, Y=637}, Time: 1521.5694 ms
Position: {X=1277, Y=635}, Time: 1550.2087 ms
Position: {X=1277, Y=634}, Time: 1581.0727 ms
Position: {X=1275, Y=634}, Time: 1615.3982 ms
Position: {X=1275, Y=632}, Time: 1643.9582 ms
Position: {X=1275, Y=632}, Time: 1674.0892 ms
Position: {X=1271, Y=631}, Time: 1704.4946 ms
Position: {X=1274, Y=630}, Time: 1740.8552 ms
Position: {X=1272, Y=631}, Time: 1767.4935 ms
Position: {X=1271, Y=630}, Time: 1799.0343 ms
Position: {X=1271, Y=630}, Time: 1832.9968 ms
Position: {X=1269, Y=630}, Time: 1862.5485 ms
Position: {X=1270, Y=630}, Time: 1892.0559 ms
Position: {X=1268, Y=630}, Time: 1930.5698 ms
Position: {X=1267, Y=628}, Time: 1969.3357 ms
Position: {X=1266, Y=630}, Time: 2004.817 ms
Position: {X=1268, Y=630}, Time: 2051.4655 ms
Position: {X=1267, Y=628}, Time: 2097.9175 ms
Position: {X=1268, Y=627}, Time: 2127.3643 ms
Position: {X=1270, Y=626}, Time: 2156.1755 ms
Position: {X=1269, Y=627}, Time: 2186.6773 ms
Position: {X=1270, Y=626}, Time: 2222.1327 ms
Position: {X=1272, Y=626}, Time: 2250.9011 ms

